﻿Kategoria;Kontroler/Moduł;"Opis Kontrolera";"Nazwa Testu (EN)";"Opis Testu (PL)";"Metoda PHPUnit";Status;"Typ Testu"
Inne;ExampleTest;"Przykładowy test podstawowy";that_true_is_true;"Test podstawowy - prawda jest prawdą";"P\Tests\Unit\ExampleTest::__pest_evaluable_that_true_is_true";"✅ Przechodzi";Pest
"Unit - Middleware";CheckPermissionsMiddlewareTest;"Sprawdzanie uprawnień użytkowników";middleware_allows_user_with_required_permission;"Middleware pozwala użytkownikowi z wymaganymi uprawnieniami";"Tests\Unit\Middleware\CheckPermissionsMiddlewareTest::test_middleware_allows_user_with_required_permission";"✅ Przechodzi";PHPUnit
"Unit - Middleware";CheckPermissionsMiddlewareTest;"Sprawdzanie uprawnień użytkowników";middleware_denies_user_without_required_permission;"Middleware odmawia dostępu użytkownikowi bez uprawnień";"Tests\Unit\Middleware\CheckPermissionsMiddlewareTest::test_middleware_denies_user_without_required_permission";"✅ Przechodzi";PHPUnit
"Unit - Middleware";CheckPermissionsMiddlewareTest;"Sprawdzanie uprawnień użytkowników";middleware_allows_user_with_multiple_permissions;"Middleware pozwala użytkownikowi z wieloma uprawnieniami";"Tests\Unit\Middleware\CheckPermissionsMiddlewareTest::test_middleware_allows_user_with_multiple_permissions";"✅ Przechodzi";PHPUnit
"Unit - Middleware";CheckPermissionsMiddlewareTest;"Sprawdzanie uprawnień użytkowników";middleware_denies_unauthenticated_user;"Middleware odmawia dostępu nieuwierzytelnionemu użytkownikowi";"Tests\Unit\Middleware\CheckPermissionsMiddlewareTest::test_middleware_denies_unauthenticated_user";"✅ Przechodzi";PHPUnit
"Unit - Middleware";CheckPermissionsMiddlewareTest;"Sprawdzanie uprawnień użytkowników";middleware_handles_super_admin_access;"Middleware obsługuje dostęp super administratora";"Tests\Unit\Middleware\CheckPermissionsMiddlewareTest::test_middleware_handles_super_admin_access";"✅ Przechodzi";PHPUnit
"Unit - Middleware";QuotaMiddlewareUnitTest;"Testy jednostkowe limitów";allows_get_requests;"Pozwala na żądania GET";"Tests\Unit\Middleware\QuotaMiddlewareUnitTest::test_allows_get_requests";"✅ Przechodzi";PHPUnit
"Unit - Middleware";QuotaMiddlewareUnitTest;"Testy jednostkowe limitów";allows_request_when_no_user_authenticated;"Pozwala na żądania gdy brak uwierzytelnienia";"Tests\Unit\Middleware\QuotaMiddlewareUnitTest::test_allows_request_when_no_user_authenticated";"✅ Przechodzi";PHPUnit
"Unit - Middleware";QuotaMiddlewareUnitTest;"Testy jednostkowe limitów";allows_request_when_user_has_no_tenant;"Pozwala na żądania gdy użytkownik nie ma klienta";"Tests\Unit\Middleware\QuotaMiddlewareUnitTest::test_allows_request_when_user_has_no_tenant";"✅ Przechodzi";PHPUnit
"Unit - Middleware";QuotaMiddlewareUnitTest;"Testy jednostkowe limitów";allows_request_when_no_quota_defined;"Pozwala na żądania gdy nie zdefiniowano limitów";"Tests\Unit\Middleware\QuotaMiddlewareUnitTest::test_allows_request_when_no_quota_defined";"✅ Przechodzi";PHPUnit
